domain,problem_file,planner,solved,timed_out,runtime_s,makespan,valid
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p001.pddl,HSP,True,False,5.5787,6,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p001.pddl,PRW,True,False,5.9115,8,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p002.pddl,HSP,True,False,5.8463,10,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p002.pddl,PRW,True,False,6.0119,16,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p003.pddl,HSP,True,False,5.7199,6,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p003.pddl,PRW,True,False,7.0113,14,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p004.pddl,HSP,True,False,6.1531,12,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p004.pddl,PRW,True,False,6.7323,34,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p005.pddl,HSP,True,False,6.1602,10,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p005.pddl,PRW,True,False,6.3578,22,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p006.pddl,HSP,True,False,6.3461,16,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p006.pddl,PRW,True,False,6.4159,54,
blocksworld,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2000\blocks\strips-typed\p007.pddl,HSP,True,False,6.2901,12,
